codigo;dist_centro;nome;longitude;latitude;peso;dist_cap;id_centro;id_cidade
3515350;0;Euclides da Cunha Paulista;52,590278;-22,561389;5136;620;4987;4987
3515400;25,20061;Fartura;49,51;-23,388333;4160;294;5246;4988
3515509;0;Fernand�polis;50,246389;-20,283889;10000;519;4989;4989
3515608;56,848345;Fernando Prestes;48,685278;-21,264444;100;329;5036;4990
3515657;21,564416;Fern�o;49,520833;-22,358611;400;324;5002;4991
3515707;100,89128;Ferraz de Vasconcelos;46,368611;-23,540833;8;27;5416;4992
3515806;38,032817;Flora Rica;51,384167;-21,675833;880;530;5429;4993
3515905;22,624867;Floreal;50,145278;-20,676667;3200;482;5005;4994
3516002;48,607021;Fl�rida Paulista;51,173611;-21,614722;2500;513;5429;4995
3516101;80,185141;Flor�nia;50,737778;-22,903333;60;426;5200;4996
3516200;16,725376;Franca;47,400833;-20,538611;2830;342;5220;4997
3516309;52,843002;Francisco Morato;46,745278;-23,281667;0;31;4920;4998
3516408;45,267215;Franco da Rocha;46,726944;-23,321667;14;27;4898;4999
3516507;72,081631;Gabriel Monteiro;50,554722;-21,531111;650;461;5278;5000
3516606;13,928065;G�lia;49,552778;-22,291389;1500;330;5002;5001
3516705;0;Gar�a;49,656111;-22,210556;3000;343;5002;5002
3516804;24,608445;Gast�o Vidigal;50,186944;-20,798611;3200;476;5005;5003
3516853;20,170236;Gavi�o Peixoto;48,494722;-21,838889;500;269;4887;5004
3516903;0;General Salgado;50,360556;-20,648333;17111;501;5005;5005
3517000;30,034043;Getulina;49,928611;-21,798611;702;390;5278;5006
3517109;40,186983;Glic�rio;50,205833;-21,376111;3730;439;5278;5007
3517208;11,303538;Guai�ara;49,798611;-21,621944;1455;389;5278;5008
3517307;41,715685;Guaimb�;49,896667;-21,91;458;381;5278;5009
3517406;64,414333;Gua�ra;48,310556;-20,318333;750;397;4905;5010
3517505;48,401885;Guapia�u;49,220278;-20,795;2010;405;5406;5011
3517604;71,146814;Guapiara;48,532778;-24,185;180;206;5060;5012
3517703;57,175409;Guar�;47,824167;-20,428333;1720;367;4878;5013
3517802;15,995733;Guara�a�;51,206667;-21,028333;5480;547;5150;5014
3517901;69,292775;Guaraci;48,944722;-20,498611;1277;413;5224;5015
3518008;25,21173;Guarani d'Oeste;50,339444;-20,074722;3252;543;4989;5016
3518107;48,552255;Guarant�;49,589722;-21,895;531;354;5278;5017
3518206;86,863112;Guararapes;50,642778;-21,260833;2800;484;5278;5018
3518305;65,366228;Guararema;46,035;-23,415;1850;63;5416;5019
3518404;37,313484;Guaratinguet�;45,1925;-22,816389;18050;169;4962;5020
3518503;27,778322;Guare�;48,184167;-23,372778;8650;159;5067;5021
3518602;52,557031;Guariba;48,228333;-21,36;110;292;4880;5022
3518701;0;Guaruj�;46,256389;-23,993056;6;63;5023;5023
3518800;56,824902;Guarulhos;46,533333;-23,462778;52;14;4898;5024
3518859;66,120267;Guatapar�;48,037778;-21,496667;250;269;4887;5025
3518909;27,964987;Guzol�ndia;50,661944;-20,649722;8250;525;5208;5026
3519006;36,604638;Hercul�ndia;50,385278;-22,003611;2960;421;5200;5027
3519055;30,31399;Holambra;47,055556;-22,633056;680;110;4920;5028
3519071;17,135224;Hortol�ndia;47,22;-22,858333;6;97;4920;5029
3519105;25,003222;Iacanga;49,024722;-21,89;1640;306;5036;5030
3519204;59,051137;Iacri;50,689444;-21,858333;835;457;5140;5031
3519253;42,440007;Iaras;49,162778;-22,870833;160;269;5246;5032
3519303;39,32975;Ibat�;47,996667;-21,954722;315;225;4963;5033
3519402;46,547648;Ibir�;49,240833;-21,080278;1870;383;5102;5034
3519501;35,016639;Ibirarema;50,0725;-22,8175;175;361;5376;5035
3519600;0;Ibitinga;48,828889;-21,757778;3060;300;5036;5036
3519709;84,943165;Ibi�na;47,2225;-23,656389;852;61;5067;5037
3519808;56,940185;Ic�m;49,195;-20,341667;1384;443;5406;5038
3519907;58,073311;Iep�;51,076111;-22,660556;3740;465;5140;5039
3520004;66,16984;Igara�u do Tiet�;48,557778;-22,509167;92;228;5080;5040
3520103;17,464844;Igarapava;47,746944;-20,038333;1200;405;4905;5041
3520202;64,574991;Igarat�;46,156111;-23,204444;717;62;5416;5042
3520301;45,196731;Iguape;47,555278;-24,708056;260;159;5091;5043
3520400;85,994701;Ilhabela;45,358056;-23,778056;45;133;5416;5044
3520426;47,01316;Ilha Comprida;47,54;-24,741111;0;161;5091;5045
3520442;33,367493;Ilha Solteira;51,3425;-20,432778;4250;596;5233;5046
3520509;26,100967;Indaiatuba;47,218056;-23,090278;2600;78;4920;5047
3520608;8,9140614;Indiana;51,251667;-22,174444;786;498;5140;5048
3520707;34,102013;Indiapor�;50,289722;-19,98;6030;547;4989;5049
3520806;47,057124;In�bia Paulista;50,961944;-21,769722;720;486;5140;5050
3520905;36,353653;Ipaussu;49,626389;-23,056667;250;311;5376;5051
3521002;45,862295;Iper�;47,688611;-23,350278;1120;110;5067;5052
3521101;32,980513;Ipe�na;47,718889;-22,435833;173;166;5245;5053
3521150;27,471947;Ipigu�;49,387222;-20,656667;2010;428;5406;5054
3521200;60,905677;Iporanga;48,593056;-24,585556;480;230;5091;5055
3521309;67,201904;Ipu�;48,012222;-20,438056;500;372;4878;5056
3521408;59,260111;Iracem�polis;47,518611;-22,580556;157;140;4920;5057
3521507;38,415118;Irapu�;49,408889;-21,279444;890;380;5102;5058
3521606;31,469481;Irapuru;51,345;-21,570833;2500;532;5429;5059
3521705;0;Itaber�;49,137222;-23,861944;9000;257;5060;5060
3521804;38,981047;Ita�;49,090556;-23,417778;1960;251;5246;5061
3521903;23,985097;Itajobi;49,054444;-21,318056;1350;351;5190;5062
3522000;24,96547;Itaju;48,804722;-21,981111;900;282;5036;5063
3522109;68,913361;Itanha�m;46,788889;-24,183056;0;72;5148;5064
3522158;16,897888;Ita�ca;48,842778;-24,64;720;255;5291;5065
3522208;68,142127;Itapecerica da Serra;46,849167;-23,716944;0;29;5084;5066
3522307;0;Itapetininga;48,053056;-23,591667;20080;145;5067;5067
3522406;29,778332;Itapeva;48,875556;-23,982222;4900;233;5060;5068
3522505;48,897468;Itapevi;46,934167;-23,548889;0;30;5084;5069
3522604;57,696372;Itapira;46,821667;-22,436111;1300;125;4920;5070
3522653;18,557447;Itapirapu� Paulista;49,168056;-24,573889;328;281;5291;5071
3522703;18,120053;It�polis;48,812778;-21,595556;1320;311;5036;5072
3522802;58,199516;Itaporanga;49,489722;-23,707778;3870;292;5246;5073
3522901;43,153407;Itapu�;48,719167;-22,233333;690;259;4887;5074
3523008;41,614285;Itapura;51,508889;-20,646111;730;597;5233;5075
3523107;95,824084;Itaquaquecetuba;46,348333;-23,486111;20;30;5416;5076
3523206;34,16259;Itarar�;49,331667;-24,1125;5366;282;5060;5077
3523305;28,935457;Itariri;47,174444;-24,289167;21;99;5148;5078
3523404;25,320009;Itatiba;46,838889;-23,005833;2300;63;4920;5079
3523503;0;Itatinga;48,615833;-23,101667;6600;208;5080;5080
3523602;44,103218;Itirapina;47,822778;-22,252778;910;188;4963;5081
3523701;6,5072691;Itirapu�;47,219167;-20,640833;1263;327;5220;5082
3523800;61,620167;Itobi;46,975;-21,736944;2100;204;4918;5083
3523909;0;Itu;47,299167;-23,264167;9920;75;5084;5084
3524006;27,530277;Itupeva;47,057778;-23,153056;215;61;4920;5085
3524105;61,767555;Ituverava;47,780556;-20,339444;1400;374;5220;5086
3524204;21,749633;Jaborandi;48,4125;-20,688056;252;366;4874;5087
3524303;37,658462;Jaboticabal;48,322222;-21,254722;1500;308;4880;5088
3524402;52,199242;Jacare�;45,965833;-23,305278;1600;74;5416;5089
3524501;29,622759;Jaci;49,57;-20,882222;1780;423;5406;5090
3524600;0;Jacupiranga;48,002222;-24,6925;3500;188;5091;5091
3524709;53,119696;Jaguari�na;46,985833;-22,705556;1200;100;4898;5092
3524808;27,876792;Jales;50,545833;-20,268889;8826;543;5208;5093
3524907;28,677163;Jambeiro;45,687778;-23,253611;2200;102;5416;5094
3525003;49,975063;Jandira;46,9025;-23,5275;0;27;5084;5095
3525102;23,318508;Jardin�polis;47,763889;-21,017778;2400;303;4878;5096
3525201;40,414064;Jarinu;46,728333;-23,101389;149;50;4920;5097
3525300;37,924538;Ja�;48,557778;-22,296389;900;241;4887;5098
3525409;18,242229;Jeriquara;47,589167;-20,311111;483;372;4905;5099
3525508;27,39214;Joan�polis;46,275556;-22,930278;1820;78;4898;5100
3525607;43,102673;Jo�o Ramalho;50,767778;-22,250278;2037;448;5140;5101
3525706;0;Jos� Bonif�cio;49,688333;-21,052778;11320;419;5102;5102
3525805;26,185303;J�lio Mesquita;49,787222;-22,008889;400;366;5002;5103
3525854;24,492716;Jumirim;47,784167;-23,086667;2400;128;4949;5104
3525904;36,09208;Jundia�;46,884167;-23,186389;210;47;4920;5105
3526001;20,53872;Junqueir�polis;51,433611;-21,514722;1600;542;5429;5106
3526100;18,274394;Juqui�;47,634722;-24,320833;940;133;5148;5107
3526209;55,606014;Juquitiba;47,068333;-23,931667;0;61;5148;5108
3526308;38,029757;Lagoinha;45,190278;-23,090556;8971;156;5416;5109
3526407;18,206845;Laranjal Paulista;47,836667;-23,049722;2150;135;4949;5110
3526506;7,4969887;Lav�nia;51,039722;-21,168333;5960;525;5150;5111
3526605;56,3241;Lavrinhas;44,902222;-22,570833;2800;208;4962;5112
3526704;39,238612;Leme;47,390278;-22,185556;1800;170;4963;5113
3526803;79,500235;Len��is Paulista;48,800278;-22,598611;388;245;4887;5114
3526902;51,571509;Limeira;47,401667;-22,564722;1087;134;4920;5115
3527009;48,974597;Lind�ia;46,65;-22,523056;400;113;4898;5116
3527108;19,800315;Lins;49,7425;-21,678611;4328;381;5278;5117
3527207;41,790632;Lorena;45,124722;-22,730833;12350;179;4962;5118
3527256;38,169823;Lourdes;50,224167;-20,966944;770;467;5005;5119
3527306;23,065931;Louveira;46,950556;-23,086389;65;60;4920;5120
3527405;49,861557;Luc�lia;51,018889;-21,720278;3000;494;5140;5121
3527504;28,121037;Lucian�polis;49,5225;-22,431111;240;321;5002;5122
3527603;51,825515;Lu�s Ant�nio;47,704444;-21,555;40;246;4918;5123
3527702;50,871676;Luizi�nia;50,326667;-21,675833;1105;432;5278;5124
3527801;37,769094;Lup�rcio;49,817222;-22,415;240;349;5376;5125
3527900;11,655079;Lut�cia;50,392222;-22,34;4003;408;5200;5126
3528007;65,599212;Macatuba;48,711389;-22,502222;126;242;4887;5127
3528106;44,828734;Macaubal;49,963889;-20,805833;4380;458;5005;5128
3528205;16,28445;Maced�nia;50,194444;-20,145833;5830;526;4989;5129
3528304;14,002093;Magda;50,226111;-20,643889;2500;491;5005;5130
3528403;33,485629;Mairinque;47,183333;-23,545833;670;56;5084;5131
3528502;41,038686;Mairipor�;46,586667;-23,318611;22;26;4898;5132
3528601;22,092396;Manduri;49,321944;-23,003333;3700;281;5246;5133
3528700;21,253849;Marab� Paulista;51,9625;-22,108056;5610;570;5151;5134
3528809;51,275774;Maraca�;50,667222;-22,610556;500;426;5200;5135
3528858;62,40645;Marapoama;49,128889;-21,259167;360;361;5102;5136
3528908;38,604691;Mari�polis;51,181389;-21,798889;1370;506;5140;5137
3529005;29,835622;Mar�lia;49,945833;-22,213889;2000;370;5002;5138
3529104;6,9136075;Marin�polis;50,823056;-20,440556;955;553;5208;5139
3529203;0;Martin�polis;51,170833;-22,145833;12000;491;5140;5140
3529302;43,362484;Mat�o;48,365833;-21,603333;1600;279;4887;5141
3529401;80,043535;Mau�;46,461389;-23,667778;0;22;4898;5142
3529500;16,878542;Mendon�a;49,580833;-21,166667;1515;402;5102;5143
3529609;11,321147;Meridiano;50,173333;-20,359167;3620;508;4989;5144
3529658;51,69567;Mes�polis;50,638056;-19,966389;3994;573;5208;5145
3529708;33,808269;Miguel�polis;48,031944;-20,179444;2000;400;4905;5146
3529807;78,83745;Mineiros do Tiet�;48,450556;-22,409444;560;225;5080;5147
3529906;0;Miracatu;47,459722;-24,281389;2000;117;5148;5148
3530003;35,729787;Mira Estrela;50,137222;-19,979444;3687;536;4989;5149
3530102;0;Mirand�polis;51,101667;-21,133611;9120;532;5150;5150
3530201;0;Mirante do Paranapanema;51,906389;-22,291944;5710;558;5151;5151
